,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Respiratory Diseases ,Respiratory disease Dummy
88821,51,59,1004,          6100 ARLINGTON BLVD MONTG WARD,Virginia,Fairfax,Seven Corners,14-Aug-00,Parts per billion,8.458333,30,19,28,Parts per million,0.019042,0.035,10,30,Parts per billion,18,39,19,55,Parts per million,0.65,0.7,8,8,0,No
315961,11,1,41,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,14-Jan-03,Parts per billion,23,34,19,32,Parts per million,0.012625,0.021,4,18,Parts per billion,12.391304,25,17,36,Parts per million,0.995652,1.4,8,,0,No
314793,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,25-Jan-03,Parts per billion,27.956522,40,9,38,Parts per million,0.006333,0.018,12,15,Parts per billion,1.657143,8,11,,Parts per million,1,2.1,8,,0,No
207317,6,71,306,"14306 PARK AVE., VICTORVILLE, CA",California,San Bernardino,Victorville,25-May-02,Parts per billion,22.590909,53,4,50,Parts per million,0.046042,0.067,8,74,Parts per billion,1.371429,2,5,,Parts per million,0.504545,0.9,6,,0,No
141881,20,191,2,"707 E 119TH ST SOUTH,PECK COMMUNITY BLDG",Kansas,Sumner,Not in a city,18-Nov-01,Parts per billion,5,15,18,14,Parts per million,0.022292,0.03,2,25,Parts per billion,0,0,0,0,Parts per million,0.6375,0.8,17,,0,No
507454,37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,10-Jun-05,Parts per billion,3.478261,7,7,7,Parts per million,0.020167,0.025,12,21,Parts per billion,0,0,2,,Parts per million,0.3,0.3,0,,0,No
10924,6,37,1002,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,03-May-00,Parts per billion,15.826087,42,20,40,Parts per million,0.030917,0.041,2,35,Parts per billion,0.228571,1,23,,Parts per million,0.465217,1.2,21,,0,No
495216,22,33,9,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,09-Nov-05,Parts per billion,13,38,19,36,Parts per million,0.0385,0.062,9,58,Parts per billion,2.416667,9,0,13,Parts per million,0.725,0.9,2,10,0,No
275484,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,28-Jul-03,Parts per billion,13.5,29,21,27,Parts per million,0.045708,0.058,9,49,Parts per billion,0,0,0,0,Parts per million,0.329167,0.4,10,5,0,No
83679,48,141,37,250 Rim Rd,Texas,El Paso,El Paso,17-Mar-00,Parts per billion,11.291667,24,6,23,Parts per million,0.03575,0.047,11,40,Parts per billion,0.4875,2.6,11,,Parts per million,0.391667,0.6,10,7,0,No
158512,36,103,9,57 DIVISION STREET,New York,Suffolk,Holtsville,29-Jul-01,Parts per billion,10.708333,28,5,26,Parts per million,0.033833,0.041,23,35,Parts per billion,2.125,3,5,4,Parts per million,0.045833,0.1,5,1,0,No
53740,21,145,1024,"JACKSON PURCHASE RECC, 2901 POWELL STREET",Kentucky,McCracken,Paducah,31-Mar-00,Parts per billion,18,45,22,42,Parts per million,0.026208,0.044,10,37,Parts per billion,3.913043,10,9,14,Parts per million,0.021739,0.2,3,,0,No
244803,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,06-May-02,Parts per billion,13.333333,23,8,22,Parts per million,0.036042,0.044,15,37,Parts per billion,0,0,2,,Parts per million,0.241667,0.4,16,,0,No
253452,37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,08-Feb-02,Parts per billion,26.75,43,6,41,Parts per million,0.037792,0.077,9,104,Parts per billion,3.1,9.6,17,,Parts per million,0.5,0.7,23,8,0,No
198322,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,10-May-02,Parts per billion,46.73913,71,10,69,Parts per million,0.021125,0.055,9,47,Parts per billion,2.257143,4,8,,Parts per million,1.575,2.3,6,26,0,No
249161,36,5,83,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,21-Oct-02,Parts per billion,27.47619,36,18,34,Parts per million,0.008167,0.021,8,18,Parts per billion,8.590909,18,4,26,Parts per million,0.472727,0.8,2,,0,No
366226,6,13,1002,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,21-Feb-04,Parts per billion,8.782609,15,0,14,Parts per million,0.015292,0.027,10,23,Parts per billion,1.042857,1.3,8,,Parts per million,0.295833,0.4,6,5,0,No
509863,42,3,10,CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD,Pennsylvania,Allegheny,Pittsburgh,29-Sep-05,Parts per billion,11.166667,27,19,25,Parts per million,0.015542,0.036,0,31,Parts per billion,3.475,4.6,11,,Parts per million,0.008333,0.1,22,1,0,No
438877,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,12-Aug-04,Parts per billion,28.25,38,18,36,Parts per million,0.006583,0.018,10,15,Parts per billion,4.5625,5,5,,Parts per million,0.595833,0.9,8,,0,No
129095,6,87,3, Center St,California,Santa Cruz,Davenport,19-Jul-01,Parts per billion,2.666667,7,21,7,Parts per million,0.014,0.018,11,15,Parts per billion,0,0,2,,Parts per million,0.158333,0.3,5,,0,No
8884,6,13,3001,"583 W. 10TH ST., PITTSBURG",California,Contra Costa,Pittsburg,18-Sep-00,Parts per billion,16.173913,29,0,27,Parts per million,0.0405,0.067,11,74,Parts per billion,2.954545,9,19,13,Parts per million,0.534783,1.1,6,,0,No
395510,6,87,3, Center St,California,Santa Cruz,Davenport,23-Jan-04,Parts per billion,8.5,24,15,23,Parts per million,0.015542,0.021,6,18,Parts per billion,1,1,0,1,Parts per million,0.233333,0.4,14,,0,No
105665,6,37,1002,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,11-Dec-01,Parts per billion,32.478261,57,23,54,Parts per million,0.003083,0.008,10,7,Parts per billion,0.434783,1,0,1,Parts per million,1.291667,2.5,1,28,0,No
19415,6,67,2,"7823 BLACKFOOT WAY, NORTH HIGHLANDS",California,Sacramento,Not in a city,06-Oct-00,Parts per billion,6.217391,20,22,19,Parts per million,0.03025,0.052,11,44,Parts per billion,0.347826,1,6,1,Parts per million,0.183333,0.2,0,2,0,No
490922,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),04-Aug-05,Parts per billion,10.041667,23,20,22,Parts per million,0.030833,0.045,11,38,Parts per billion,0.857143,1.6,5,,Parts per million,0.383333,0.5,0,6,0,No
206842,6,71,306,"14306 PARK AVE., VICTORVILLE, CA",California,San Bernardino,Victorville,26-Jan-02,Parts per billion,23.909091,34,7,32,Parts per million,0.020917,0.034,22,29,Parts per billion,0.457143,1.6,5,,Parts per million,0.5375,1.4,0,16,0,No
410494,25,25,42,HARRISON AVE,Massachusetts,Suffolk,Boston,30-Jul-04,Parts per billion,17.208333,31,6,29,Parts per million,0.033125,0.068,9,77,Parts per billion,2.433333,3.3,11,,Parts per million,0.147826,0.4,6,,0,No
237018,22,33,9,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,30-Mar-02,Parts per billion,8.958333,15,6,14,Parts per million,0.019625,0.028,11,24,Parts per billion,0.625,5,20,7,Parts per million,1.066667,1.2,20,14,0,No
507745,40,21,9002,"P.O. BOX 948   TAHLEQUAH, OK  74464",Oklahoma,Cherokee,Park Hill,20-Mar-05,Parts per billion,11.5,19,0,18,Parts per million,0.045,0.059,10,50,Parts per billion,0.875,1,0,1,Parts per million,0.025,0.1,0,1,0,No
287278,6,25,5,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,15-Oct-03,Parts per billion,10.043478,20,8,19,Parts per million,0.014583,0.024,9,20,Parts per billion,0.114286,0.2,8,,Parts per million,0.7625,1.3,10,15,0,No
177380,48,141,37,250 Rim Rd,Texas,El Paso,El Paso,22-Jan-01,Parts per billion,33,46,7,43,Parts per million,0.009083,0.023,10,19,Parts per billion,1.708333,4,7,6,Parts per million,0.9625,1.7,0,19,0,No
56929,29,189,4,"Sunset Hills: 4580 South Lindbergh & Gravios, Sunset Hills, MO 63126",Missouri,Saint Louis,Sunset Hills,20-May-00,Parts per billion,17.333333,34,23,32,Parts per million,0.020625,0.038,10,32,Parts per billion,9.05,19.6,20,,Parts per million,0.316667,0.5,23,6,0,No
457917,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,03-Apr-05,Parts per billion,23.652174,34,18,32,Parts per million,0.009125,0.021,8,18,Parts per billion,1.26087,2,0,3,Parts per million,0.530435,1.5,22,,0,No
163166,42,3,10,CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD,Pennsylvania,Allegheny,Pittsburgh,06-Mar-01,Parts per billion,5.833333,22,23,21,Parts per million,0.026042,0.035,10,30,Parts per billion,2.958333,8,13,11,Parts per million,0.229167,0.4,15,5,0,No
89872,51,59,5001,LEWINSVILLE 1437 BALLS HILL RD,Virginia,Fairfax,McLean,14-May-00,Parts per billion,12.041667,36,21,34,Parts per million,0.044542,0.06,12,51,Parts per billion,6.833333,14,11,20,Parts per million,0.308333,0.4,1,,0,No
413138,29,189,7003,"9630 ST CHAS ROCK RD, BREKENRIDGE 63314",Missouri,Saint Louis,Breckenridge Hills,27-Oct-04,Parts per billion,10.916667,20,18,19,Parts per million,0.006583,0.009,9,8,Parts per billion,6.85,17.6,17,,Parts per million,0.654167,0.8,16,,0,No
361832,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,29-Jul-04,Parts per billion,15.166667,28,0,26,Parts per million,0.032125,0.058,11,49,Parts per billion,2.291667,3,4,4,Parts per million,0.175,0.3,6,3,0,No
91207,51,510,9,"517 N SAINT ASAPH ST, ALEXANDRIA HEALTH",Virginia,Alexandria City,Alexandria,13-Jul-00,Parts per billion,19.416667,35,12,33,Parts per million,0.028042,0.033,17,28,Parts per billion,4.625,15,13,21,Parts per million,0.416667,0.5,0,6,0,No
82298,42,133,8,HILL ST.,Pennsylvania,York,York,09-Apr-00,Parts per billion,4.541667,17,4,16,Parts per million,0.032375,0.052,10,44,Parts per billion,5.708333,16,3,23,Parts per million,0.2375,0.3,0,,0,No
492105,20,107,2,COUNTY RD 1103 .7 MI SOUTH OF K-52,Kansas,Linn,Not in a city,05-Jan-05,Parts per billion,0.333333,3,6,3,Parts per million,0.0315,0.044,10,37,Parts per billion,0.275,1,14,,Parts per million,0.1375,0.2,0,,0,No
132231,6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,26-Oct-01,Parts per billion,14.608696,33,5,31,Parts per million,0.025042,0.055,9,47,Parts per billion,0.371429,1,11,,Parts per million,0.443478,0.7,5,,0,No
300296,6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,08-Apr-03,Parts per billion,11.434783,18,4,17,Parts per million,0.017542,0.028,8,24,Parts per billion,3,3,2,,Parts per million,0.433333,0.6,8,7,0,No
465783,6,67,2,"7823 BLACKFOOT WAY, NORTH HIGHLANDS",California,Sacramento,Not in a city,22-Nov-05,Parts per billion,26.217391,40,7,38,Parts per million,0.007958,0.024,9,20,Parts per billion,0.652174,2,6,3,Parts per million,1.221739,2.6,7,,0,No
23785,6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,20-Nov-00,Parts per billion,37.913043,58,11,55,Parts per million,0.008083,0.015,8,13,Parts per billion,3,5,18,7,Parts per million,1.529167,2.6,23,30,0,No
441848,48,201,1035,9525 1/2 Clinton Dr,Texas,Harris,Houston,01-Feb-04,Parts per billion,28.708333,41,8,39,Parts per million,0.0095,0.015,11,13,Parts per billion,7.958333,12,0,17,Parts per million,0.158333,0.2,9,2,0,No
341316,40,115,9004,"QUAPAW TRIBE'S INDUSTRIAL PARK, MIAMI",Oklahoma,Ottawa,Miami,26-Jun-03,Parts per billion,5.666667,27,23,25,Parts per million,0.028583,0.052,11,44,Parts per billion,0.416667,3,8,4,Parts per million,0,0,0,0,0,No
67235,37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,15-Apr-00,Parts per billion,16.666667,28,20,26,Parts per million,0.009125,0.015,0,13,Parts per billion,2.5375,4,20,,Parts per million,0.520833,0.6,19,7,0,No
295003,6,65,8001,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,05-Jul-03,Parts per billion,4.652174,15,3,14,Parts per million,0.032,0.04,8,34,Parts per billion,0.357143,1,23,,Parts per million,0.195652,0.3,13,,0,No
472068,6,73,2007,"1100 PASEO INTERNATIONAL, OTAY MESA, CA",California,San Diego,San Diego,04-Jul-05,Parts per billion,26.782609,54,5,51,Parts per million,0.031,0.039,9,33,Parts per billion,8.085714,9,14,,Parts per million,0.866667,1.2,5,14,0,No
218217,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,02-Nov-02,Parts per billion,1.652174,3,10,3,Parts per million,0.045042,0.049,11,42,Parts per billion,0.5,1.6,23,,Parts per million,0.134783,0.2,15,,0,No
264013,42,91,13,STATE ARMORY - 1046 BELVOIR RD,Pennsylvania,Montgomery,Norristown,21-Jul-02,Parts per billion,4.916667,14,19,13,Parts per million,0.051625,0.078,9,106,Parts per billion,2.5,4.6,17,,Parts per million,0,0,0,,0,No
488659,17,31,4002,1820 S. 51ST AVE.,Illinois,Cook,Cicero,04-Sep-05,Parts per billion,36.458333,68,21,66,Parts per million,0.022583,0.039,12,33,Parts per billion,6.458333,16,7,23,Parts per million,0.916667,1.2,7,,0,No
274324,48,141,58,5050A Yvette Drive,Texas,El Paso,El Paso,15-Sep-02,Parts per billion,4.65,7,9,7,Parts per million,0.0425,0.049,8,42,Parts per billion,0,0,0,0,Parts per million,0.116667,0.2,20,2,0,No
379590,6,65,8001,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,26-Sep-04,Parts per billion,25.565217,56,8,53,Parts per million,0.051792,0.107,10,179,Parts per billion,0,0,0,0,Parts per million,1.413043,2.5,6,,0,No
108848,6,37,5001,"5234 W. 120TH ST., HAWTHORNE",California,Los Angeles,Hawthorne,26-Jan-01,Parts per billion,30.434783,49,1,46,Parts per million,0.003833,0.008,10,7,Parts per billion,2.565217,4,0,6,Parts per million,1.652174,3.4,1,,0,No
276373,4,13,3003,2857 N MILLER RD-S SCOTTSDALE STN,Arizona,Maricopa,Scottsdale,26-Dec-03,Parts per billion,12.708333,39,23,37,Parts per million,0.025417,0.039,9,33,Parts per billion,0.125,1,0,1,Parts per million,0.458333,0.9,19,,0,No
179177,48,141,58,5050A Yvette Drive,Texas,El Paso,El Paso,24-Jun-01,Parts per billion,5.05,11,6,10,Parts per million,0.042875,0.058,10,49,Parts per billion,0,0,2,,Parts per million,0.213636,0.3,3,,0,No
443404,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,15-Feb-05,Parts per billion,37.416667,52,17,49,Parts per million,0.002667,0.004,7,3,Parts per billion,1.4625,2.3,11,,Parts per million,1.0625,1.4,2,16,0,No
311748,6,87,3, Center St,California,Santa Cruz,Davenport,25-Oct-03,Parts per billion,5.272727,10,9,9,Parts per million,0.03925,0.052,10,44,Parts per billion,0.409091,3,21,4,Parts per million,0.358333,0.5,0,6,0,No
300365,6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,24-Aug-03,Parts per billion,8.26087,18,2,17,Parts per million,0.02475,0.032,9,27,Parts per billion,4.043478,5,23,7,Parts per million,0.430435,0.6,2,,0,No
254640,40,71,9003,"RT 1, BOX 1980  PONCA CITY, OK  74601",Oklahoma,Kay,Ponca City,24-Feb-02,Parts per billion,6.291667,14,18,13,Parts per million,0.030833,0.039,7,33,Parts per billion,1.708333,9,17,13,Parts per million,0,0,0,0,0,No
511207,42,11,9,UGI CO MONGANTOWN RD AND PROSPECT ST,Pennsylvania,Berks,Reading,30-Jun-05,Parts per billion,18.75,36,19,34,Parts per million,0.036292,0.063,10,61,Parts per billion,5.1,13,23,,Parts per million,0.4375,0.6,20,7,0,No
315373,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,31-Jul-03,Parts per billion,17,39,10,37,Parts per million,0.01975,0.036,13,31,Parts per billion,4.914286,23.6,11,,Parts per million,0.529167,1,5,,0,No
259279,42,17,12,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,04-Jan-02,Parts per billion,9.416667,22,23,21,Parts per million,0.030333,0.046,10,39,Parts per billion,0.958333,4,23,6,Parts per million,0,0,0,,0,No
197816,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,06-Jan-02,Parts per billion,16,25,7,24,Parts per million,0.036708,0.055,10,47,Parts per billion,1.434783,2,5,3,Parts per million,0.479167,0.6,10,7,0,No
428881,42,21,11,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,06-Apr-04,Parts per billion,11.583333,24,19,23,Parts per million,0.024875,0.044,11,37,Parts per billion,1.541667,5,11,7,Parts per million,0.491667,0.6,0,,0,No
486038,11,1,41,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,18-Mar-05,Parts per billion,41.375,58,8,55,Parts per million,0.014208,0.031,10,26,Parts per billion,9.9625,17.6,11,,Parts per million,1.0375,1.2,9,14,0,No
158558,36,103,9,57 DIVISION STREET,New York,Suffolk,Holtsville,08-Nov-01,Parts per billion,14.791667,24,2,23,Parts per million,0.025583,0.033,20,28,Parts per billion,3.15,3.6,8,,Parts per million,0.141667,0.2,4,2,0,No
368152,6,13,1004,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,16-Jun-04,Parts per billion,6.333333,18,5,17,Parts per million,0.0332,0.036,11,31,Parts per billion,1.705882,3,13,4,Parts per million,0.6,0.6,0,7,0,No
223849,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,25-Feb-02,Parts per billion,3.363636,8,19,8,Parts per million,0.024292,0.031,9,26,Parts per billion,0,0,2,,Parts per million,0.217391,0.4,12,,0,No
397206,6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,14-May-04,Parts per billion,10.478261,18,8,17,Parts per million,0.027917,0.035,10,30,Parts per billion,1.318182,3,7,4,Parts per million,0.373913,0.5,8,,0,No
136570,12,95,2002,MORRIS BLVD.,Florida,Orange,Winter Park,27-Dec-01,Parts per billion,21.791667,44,18,42,Parts per million,0.012792,0.026,8,22,Parts per billion,0.9375,2,20,,Parts per million,0.566667,1.2,23,14,0,No
134979,11,1,41,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,11-Jan-01,Parts per billion,24.875,39,17,37,Parts per million,0.0245,0.04,9,34,Parts per billion,3.525,7.6,11,,Parts per million,0.520833,1.1,17,,0,No
396953,6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,03-Nov-04,Parts per billion,18.695652,31,7,29,Parts per million,0.0185,0.036,10,31,Parts per billion,1.271429,3.3,11,,Parts per million,0.795833,1.2,1,14,0,No
233328,20,209,21,"1210 N. 10TH ST.,JFK RECREATION CENTER",Kansas,Wyandotte,Kansas City,27-Feb-02,Parts per billion,15.086957,43,21,41,Parts per million,0.020917,0.036,9,31,Parts per billion,3.114286,5.6,20,,Parts per million,1.204167,1.5,23,17,0,No
4157,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,06-Sep-00,Parts per billion,9.521739,18,5,17,Parts per million,0.022167,0.029,9,25,Parts per billion,1.545455,2,1,3,Parts per million,0.4,0.4,0,5,0,No
15432,6,37,5001,"5234 W. 120TH ST., HAWTHORNE",California,Los Angeles,Hawthorne,06-Jun-00,Parts per billion,25.130435,45,8,42,Parts per million,0.024125,0.036,9,31,Parts per billion,4.885714,13,14,,Parts per million,0.504348,2.3,5,,0,No
80232,42,125,5,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,06-Sep-00,Parts per billion,11.458333,37,21,35,Parts per million,0.060292,0.103,11,169,Parts per billion,8.7875,16.6,17,,Parts per million,0.066667,0.3,21,,0,No
395621,6,87,3, Center St,California,Santa Cruz,Davenport,19-Feb-04,Parts per billion,2.416667,6,10,6,Parts per million,0.028167,0.038,10,32,Parts per billion,0.275,1.3,2,,Parts per million,0.295833,0.4,0,5,0,No
49567,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,07-Mar-00,Parts per billion,14.238095,37,0,35,Parts per million,0.038083,0.061,8,54,Parts per billion,5.285714,15,3,21,Parts per million,0.1875,0.2,0,2,0,No
223177,6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,23-Aug-02,Parts per billion,11.863636,20,9,19,Parts per million,0.022875,0.047,10,40,Parts per billion,0.185714,1,14,,Parts per million,0.204545,0.5,6,,0,No
506687,36,103,9,57 DIVISION STREET,New York,Suffolk,Holtsville,29-Dec-05,Parts per billion,20.375,39,17,37,Parts per million,0.020375,0.032,9,27,Parts per billion,1.475,4.3,20,,Parts per million,0.125,0.2,18,2,0,No
195790,6,37,31,"1115 N. MAHAR AVENUE WILMINGTON, CA",California,Los Angeles,West Los Angeles,08-Apr-02,Parts per billion,13.681818,42,23,40,Parts per million,0.02875,0.047,11,40,Parts per billion,2.590909,13,9,19,Parts per million,0.241667,0.3,14,3,0,No
363026,4,13,3003,2857 N MILLER RD-S SCOTTSDALE STN,Arizona,Maricopa,Scottsdale,23-Nov-04,Parts per billion,18.904762,33,20,31,Parts per million,0.010895,0.019,0,16,Parts per billion,0.047619,1,20,1,Parts per million,0.325,0.4,11,5,0,No
105653,6,37,1002,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,11-Sep-01,Parts per billion,71.565217,132,10,107,Parts per million,0.006792,0.012,11,10,Parts per billion,1.347826,3,5,4,Parts per million,2.395833,3.2,4,36,0,No
80308,42,125,5,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,28-Jun-00,Parts per billion,13.083333,21,23,20,Parts per million,0.026458,0.053,11,45,Parts per billion,14.1375,30,14,,Parts per million,0.054167,0.2,19,,0,No
233823,20,209,21,"1210 N. 10TH ST.,JFK RECREATION CENTER",Kansas,Wyandotte,Kansas City,15-Jul-02,Parts per billion,24.318182,54,7,51,Parts per million,0.054083,0.086,8,127,Parts per billion,4.766667,8,2,,Parts per million,0.836364,1.3,1,,0,No
90882,51,510,9,"517 N SAINT ASAPH ST, ALEXANDRIA HEALTH",Virginia,Alexandria City,Alexandria,23-Apr-00,Parts per billion,13.958333,39,21,37,Parts per million,0.019875,0.028,6,24,Parts per billion,2.708333,6,15,9,Parts per million,0.4375,0.7,22,,0,No
135006,11,1,41,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,11-Aug-01,Parts per billion,36.916667,53,7,50,Parts per million,0.0135,0.023,23,19,Parts per billion,8.166667,18,11,26,Parts per million,1.908333,3,7,34,0,No
124746,6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,06-Jan-01,Parts per billion,5.391304,13,6,12,Parts per million,0.031143,0.04,8,34,Parts per billion,0.130435,2,3,3,Parts per million,0.304167,0.4,18,5,0,No
142563,20,209,21,"1210 N. 10TH ST.,JFK RECREATION CENTER",Kansas,Wyandotte,Kansas City,05-Jul-01,Parts per billion,12.875,47,21,44,Parts per million,0.028583,0.052,10,44,Parts per billion,1.5875,3,8,,Parts per million,0.6,1.4,21,,0,No
35752,6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,29-Mar-00,Parts per billion,16.086957,29,0,27,Parts per million,0.017625,0.033,11,28,Parts per billion,1.863636,7,11,10,Parts per million,0.452174,1.6,6,,0,No
325192,21,67,12,"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",Kentucky,Fayette,Lexington-Fayette (corporate name for Lexington),20-Jun-03,Parts per billion,10.434783,29,20,27,Parts per million,0.023333,0.036,12,31,Parts per billion,2.583333,6,2,9,Parts per million,0,0,0,0,0,No
267642,42,129,8,DONOHOE ROAD - PENN DOT MAINT DIST BLDG,Pennsylvania,Westmoreland,Greensburg,05-Feb-02,Parts per billion,9.521739,17,6,16,Parts per million,0.037958,0.045,8,38,Parts per billion,9.73913,14,17,20,Parts per million,0.1625,0.2,7,2,0,No
130595,6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,08-May-01,Parts per billion,4.347826,9,2,8,Parts per million,0.018917,0.026,8,22,Parts per billion,0.3,0.6,2,,Parts per million,0.152174,0.2,1,,0,No
41561,12,95,2002,MORRIS BLVD.,Florida,Orange,Winter Park,28-Mar-00,Parts per billion,9.833333,21,7,20,Parts per million,0.043625,0.061,10,54,Parts per billion,0.042857,0.3,23,,Parts per million,0.833333,0.9,11,10,0,No
108631,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12-Feb-01,Parts per billion,33.130435,52,8,49,Parts per million,0.016667,0.026,21,22,Parts per billion,2.357143,5,11,,Parts per million,2.004167,3.1,8,35,0,No
121661,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,17-Apr-01,Parts per billion,17.73913,34,6,32,Parts per million,0.022833,0.034,12,29,Parts per billion,1.657143,3.6,8,,Parts per million,0.556522,0.8,23,,0,No
496712,25,25,42,HARRISON AVE,Massachusetts,Suffolk,Boston,06-Mar-05,Parts per billion,14.416667,27,13,25,Parts per million,0.027458,0.04,11,34,Parts per billion,0,0,0,0,Parts per million,0,0,0,0,0,No
100447,6,13,3001,"583 W. 10TH ST., PITTSBURG",California,Contra Costa,Pittsburg,15-May-01,Parts per billion,9.608696,16,5,15,Parts per million,0.025208,0.034,7,29,Parts per billion,2.545455,7,10,10,Parts per million,0.3625,0.4,9,5,0,No
364719,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,25-Jan-04,Parts per billion,13.869565,24,18,23,Parts per million,0.012875,0.029,10,25,Parts per billion,1.863636,6,13,9,Parts per million,0.478261,0.7,6,,0,No
7960,6,13,3001,"583 W. 10TH ST., PITTSBURG",California,Contra Costa,Pittsburg,29-Jan-00,Parts per billion,21.565217,35,20,33,Parts per million,0.006125,0.016,9,14,Parts per billion,1.454545,3,15,4,Parts per million,0.734783,1.2,6,,0,No
227447,12,95,2002,MORRIS BLVD.,Florida,Orange,Winter Park,11-Sep-02,Parts per billion,12.791667,32,0,30,Parts per million,0.027917,0.046,9,39,Parts per billion,0.65,1.3,11,,Parts per million,0.2125,0.7,0,,0,No
374549,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,01-Oct-04,Parts per billion,41.826087,63,9,61,Parts per million,0.008042,0.018,11,15,Parts per billion,3.257143,5,8,,Parts per million,1.491667,2.2,7,25,0,No
277772,4,19,1011,"1237 S. BEVERLY , TUCSON",Arizona,Pima,Tucson,15-Dec-03,Parts per billion,25.5,43,7,41,Parts per million,0.013625,0.028,9,24,Parts per billion,1.357143,2,8,,Parts per million,0.825,1.6,0,18,0,No
360024,48,201,1035,9525 1/2 Clinton Dr,Texas,Harris,Houston,03-Nov-03,Parts per billion,17.208333,32,7,30,Parts per million,0.03125,0.042,12,36,Parts per billion,8.6,13,20,,Parts per million,0.033333,0.1,15,1,0,No
